text,intent
Nelerdir ki bir proje riskli bulunur?,topic_ask
Bu ayın 15i ne zaman?,other
Çayda kafein var mı?,other
Kimlikli selam,greeting
Sizi seven insanların sayısı kaçtır?,other
Sorularım yok mu,quiz_start
Bir soru sorun,quiz_start
Proje Yönetimi Pekiştirme nedir ve ne işe yarar?,topic_ask
JIRA Service Desk nedir ve ne işe yarar?,topic_ask
Haydi bakalım,farewell
Hayırlı Aşk,greeting
Ödevimi tamamlamalıyım,quiz_start
What is the purpose of a Daily Scrum Meeting in Scrum?,topic_ask
Sınavı bitir,quiz_start
Güler yollar,farewell
Yüksek puan alma umudundayım,quiz_start
Sözcüklerini anlatabiliyorum mı,other
Hoşbuluşma Sayın,greeting
Pair programming ne işe yarar?,topic_ask
Bir soruyu sorayım,quiz_start
What is Behavior-Driven Development?,topic_ask
Asanadaki workflowları nelerdir?,topic_ask
Kulüp kapatıldı,farewell
Selamlar Güzel,greeting
Geliştirme hayatında hangi programlama dilleri kullanılır?,topic_ask
What is User Story?,topic_ask
Sevgi ve saygı ile,farewell
TDD hangi amaçla kullanılır?,topic_ask
Güneşe ulaşacağız,farewell
Tıpkı yeni bir gün,farewell
İstanbulun en güzel yerleri nelerdir,other
"Görüşürüz, mutlu",farewell
Dünyanın en kötü şehri hangisidir,other
Dostça selam,greeting
Sınavdan sonra ne yaptın?,other
Güzel bir gün için,greeting
Sorularımı cevaplaştırım,quiz_start
Sen hangi dili konuşuyorsun?,other
Benim için bir soru hazırlayın,quiz_start
Dikkatli bir sınav yap,quiz_start
Sınav yapalım,quiz_start
Kırmızı renkli evlerin sayısı ne kadardır?,other
Günaydın sevgili,greeting
Kesin bir cevap,quiz_start
Selam hayat,greeting
Hava bugün nasıl?,other
Hakikaten selamlar,greeting
Sürüm planlamasında hangi tekniklerin kullanıldığını belirleyecek misiniz?,topic_ask
Siz evde misiniz,other
Bana bir problem çözeyim,quiz_start
Quiz başlatma,quiz_start
What is a Helm Chart?,topic_ask
Yolcuların çoğu kaçırıyor.,other
İstanbulun en iyi kütüphanesi nedir?,other
API documentation ne işe yarar?,topic_ask
Yaşamın boyunca,greeting
Eline sağlık,greeting
Görüşmek üzere,farewell
Domain-driven design nedir?,topic_ask
Selam bu kez,greeting
Saat 2de nerdesin?,other
Merhaba Sayın Ol,greeting
Agile project management ne işe yarar?,topic_ask
Güneş ışığı nasıldır bugun,other
Kanban Boardunda ne gibi adımlar alınır?,topic_ask
Here is the list of 50 unique Turkish farewell phrases:,farewell
Bir şey satın almak için para lazım.,other
"Hoşça kalın, iyi Pazarlar",farewell
Selamün Aleyküm,greeting
Konusunu çalışalım,quiz_start
Kendimi sınava soktım,quiz_start
Dün gece ne zaman uykuya daldın?,other
Scrum takımının üyelerinin rolleri nelerdir?,topic_ask
Görüşürsen,farewell
Hoşça kalın dostum,farewell
Geliştirme hayatında hangi teknolojiler popülerdir?,topic_ask
Saat 11da ne yedin?,other
Veri tabanı optimizasyonunu nedir?,topic_ask
Haberiniz olsun,farewell
Oyunlar için kasa paraları var mı?,other
Geliştirme hayatında hangi teknoloji kullanılır?,topic_ask
Büyük bir kedinin adı nedir?,other
Bugünkü hava nasıl?,other
Agile projesinin aşamaları nelerdir?,topic_ask
Güllerimi sana,farewell
Merhaba Dünyalı,greeting
"Farewell, hasta",farewell
Umarım iyi,farewell
Kırmızı gök bulutları var mı?,other
Ahçiçek,greeting
Kullanıcı memnuniyetinin ölçümü nasıl yapılır?,topic_ask
Haydi bakalım,greeting
Yarınki planlarını belirleyelim,other
Kalpime emanet ol,farewell
Allah koruma eder,farewell
Kardeşinize,greeting
Kardeşinizden,greeting
Tasarım kalite kontrolesinde kullanılan araçlar nelerdir?,topic_ask
"Merhaba, mübarek olsun",greeting
Bu akşam hangi film oynuyor,other
Sırkı sorular,quiz_start
Bana bir sorular,quiz_start
Bir problem sorar mısınız,quiz_start
Müşteri ihtiyaçlarını belirlemek için hangi tekniklerin kullanılır?,topic_ask
Dün gece yağmur vardı mı?,other
What is a Backlog Refinement?,topic_ask
Kendimi sınayacak mıyım?,quiz_start
Merhaba evinin,greeting
Konusu öğreniyorum,quiz_start
"Gülmeyin, iyi akşamlar",farewell
Maven hangi amaçla kullanılan bir araçtır?,topic_ask
Her şey yolunda olsun,farewell
Yolculuk etmek için planlarınızdır.,other
Selamlar Dünya,greeting
İnşallah görüşürüz,farewell
Sınava gireyim,quiz_start
Sizden daha hızlı birini gördüm.,other
Kesin bir cevap var,quiz_start
Selamlar ailece,greeting
"Allah razı olsun, iyi akşamlar",farewell
Vazgeçemezsin,farewell
Senin favori yemek hangisidir?,other
User acceptance testing (UAT) nasıl çalışır?,topic_ask
Aşkın selamı,greeting
Bugün hangi saatte güneş battı?,other
"Tatlı rüyalar, tatlı bir sonlama",farewell
Dün gece hangi saatte uyuya daldın?,other
Selam bir daha,greeting
Selamun aleyküm,farewell
Hoşbulduk Mu?,greeting
Bana bir test sorun,quiz_start
Aşkının selamı,greeting
Çocukluğunda neler yaptı?,other
Herkesin kendine göre bir hikâye var mı?,other
Kesinlikle sevgiyle,greeting
Günaydın Gülbahar,greeting
Kodlama dilini seçimi neden önemlidir?,topic_ask
Kırmızı renkli evlerin sayısı kaçtır?,other
Sorumuzu cevaplayın,quiz_start
Kendi kendine bakın,farewell
Quiz için hazırlanın,quiz_start
MVC architecture nedir ve nasıl oluşturulur?,topic_ask
Sonrasında,farewell
What is a Velocity in Scrum?,topic_ask
Kesinlikle Selam,greeting
Soruların cevaplarını bulalım,quiz_start
Bugün hava çok sıcak!,other
Hürmetle,greeting
Hoş geldiniz,greeting
Hoşbuluşma Ol,greeting
Kendimi sınama zamanı,quiz_start
İyi Günün Için Selam,greeting
Güneşli gün olsun,greeting
Sen hangi collegeden mezun oldun?,other
"Merhaba, iyi ki ol",greeting
Sınava hazırlanan,quiz_start
Dinleniyoruz,farewell
Yazılım geliştirme processinin risk yönetimi nedir?,topic_ask
Allahın izniyle,farewell
Çevirmeye çalış,farewell
Yönetim sizin,greeting
Selam dostum,greeting
MVC patterni nasıl işler?,topic_ask
Dostça kalsın,farewell
Yeni bir Gün olsun,greeting
Hadi bakalım,farewell
What is Serverless Architecture?,topic_ask
Ne zaman ilk kez denizde yüzdünüz?,other
Büyük bir keyif,greeting
Görüşmeden sonra,farewell
Hey Güzel,greeting
Doğru yolu bulalım,quiz_start
Sevgi ve saygı,farewell
Futbol maçında kim oynuyor,other
Testime katılalım,quiz_start
Sınava giriyoruz,quiz_start
Kotlin dili nedir ve hangi amaçla kullanılır?,topic_ask
Futbol maçı kaç dakika bitti,other
How does Selenium work?,topic_ask
Kısmet olsun,farewell
Allah koruma,farewell
Selam aleyküm,greeting
"Selamun aleyküm, Allahın izniyle",greeting
Sizin favori film hangisidir?,other
Büyük bir mağaza açmaya karar verdik.,other
Tıpkı yeni bir gün ol,farewell
Jest ile Enzyme karşılaştırılması nasıl yapılır?,topic_ask
Sorumum var,quiz_start
Haydi gidelim,farewell
Son soruya bakalım,quiz_start
Yüzümde gülümseyin,farewell
Kesin olarak,quiz_start
Agile Yönetimi Modelleri nelerdir?,topic_ask
"Sınav başladı, devam edelim",quiz_start
Duygularınızı saklayın,farewell
Here is the list of unique Turkish farewell phrases:,farewell
Bugünkü hava Conditionu nedir?,other
Here is the list of unique random Turkish sentences:,other
Testi geçirelim,quiz_start
Bay bay bakar,farewell
Soru sorarım,quiz_start
Tatlı bir şey yemeği isteyecek mi?,other
Sürüm nedir?,topic_ask
Ne zaman ilk kez uçakla seyahat ettim?,other
Bu hafta hangi kitap okudun?,other
Günaydın,greeting
Merhaba Dostum,greeting
Bayramı kim unutuyor?,other
Çok yağmur yağdı,other
"Sorum yok, sorularım var",quiz_start
Sizden ayrılmak,farewell
Seni sevenlere,farewell
Sizinle Buluşmak Mutluluktur,greeting
Görüşürüz,farewell
Sizin favori yemeği nedir,other
What is Continuous Integration?,topic_ask
Her şeyin iyisi ol,farewell
Hola Türk,greeting
Kardeşçe kalsın,farewell
Kendimi test etmek isterim,quiz_start
Proje planlamasında kullanılan yöntemler nelerdir?,topic_ask
Bana bir problem verin,quiz_start
"Bildiğiniz gibi, ben de bir robotum!",other
"Hey, bakalım",greeting
Fenerbahçenin yenilgisine üzüldüm,other
Kesin testime katilım,quiz_start
Sevgili Kardesim,greeting
Sınavdaki durumumu öğrenirim,quiz_start
Futbolcuların en iyisi kimdir?,other
Bugün erken saatlerde ne yedin,other
Yolun açık olsun,farewell
Bugün neler yapacağız?,other
Dersini bitirelim,farewell
Sizi düşünüyoruz,farewell
Sıcak Kalın,greeting
What is Google Cloud Platform (GCP)?,topic_ask
API rate limiting nasıl çalışır?,topic_ask
What is the difference between a Task and a User Story?,topic_ask
"İyi bayramlar, mübarek olsun",greeting
Bana bir challenge vermeyin,quiz_start
DevOps culture nedir?,topic_ask
"Görüşmeliğiz, Allahın izniyle",farewell
Güzel Gün,greeting
Sınav zamanı,quiz_start
Görüşmek için bekliyorum,farewell
"Günaydın, güle",greeting
Dostluğun devamını,greeting
Kardeşçe Gülümseyin,greeting
Bana soru sor,quiz_start
What is Test-Driven Development?,topic_ask
Sizin favori spor nedir,other
Çocukluğumda oynadığım oyun nedir,other
Kendine iyi bakın,farewell
"İnşallah rastlaşırız, rastlaşırız",farewell
Fenerbahçe maçını izledin mi?,other
Dostça Günaydın,greeting
Quiz başlatma zamanı geldi,quiz_start
"Aşkının selamı, aşkın selamı",greeting
What is MSTest?,topic_ask
Sorumun cevabı nedir,quiz_start
Scrum value nedir?,topic_ask
Yeni gün olsun,greeting
Sürüm kontrolünde hangi araçların kullanıldığını söyleyecek misiniz?,topic_ask
"Quizime giriş yap, başlayalım",quiz_start
Sınava giriş,quiz_start
Cenaze selamı,greeting
MVC framework nedir ve hangi amaçla kullanılır?,topic_ask
Kendi halinde,farewell
Sevgili dostum,farewell
"Bir dakika, testime giriş yap",quiz_start
"Günaydın, güle güle",greeting
Ahşap Selamlar,greeting
Bir konuda öğreneceğiz,other
Gülmek var,farewell
Merhaba Mutlulu Gülbahar,greeting
Kendim için bir şehrime karar verdim,other
Nurallah için,farewell
Aşk dilekleri,farewell
Sizin için var,greeting
Kırmızı kartvizitime ihtiyaç var mı,other
Database schema nedir ve nasıl oluşturulur?,topic_ask
Hangi ayda tatil mi yapıyorsunuz,other
Sınava girişime,quiz_start
Problemime bak,other
"İyi dinuşler, iyi gidecek",farewell
Tasarım kalite kontrolesinin süreci nedir?,topic_ask
İyi günde,farewell
Yakında hangi festivali organize ediyorlar?,other
Nasıl ki bir günde bir milyon kilometre,other
Soru sorun,quiz_start
"Testin başlangıcı, başlatıyorum",quiz_start
Kardeşimin adını söylemek zor,other
Yolunda Merhaba,greeting
Asanadaki tasklerin statüsü nedir?,topic_ask
Sevgili arkadaşım,farewell
Sürümün rolü nedir?,topic_ask
Nazar seni hep hayır,farewell
Agile manifestosunda hangi prensipler var?,topic_ask
Sorularını cevaplayalım,quiz_start
Quizime hazırlanan,quiz_start
Selam Sana,greeting
Test için hazırlanın,quiz_start
Ağaçtaki ağaçları ören mi?,other
Bir soruyu istiyorum,quiz_start
Quiz zamanı,quiz_start
Bugün öğrendiğim şey nedir,other
How does Continuous Integration work in Agile?,topic_ask
Son kez hangi filme gitmiştin?,other
Testini tamamlamam gerekir,quiz_start
API security nasıl sağlanır?,topic_ask
Güldürmeyen Günü,greeting
Selam mutlu,greeting
Çözüm bulmaya çalış,other
Sorum yok mu?,quiz_start
Görüşmeliğiz,farewell
Saat 12de ne yapacaksınız?,other
API’nin kullanımı ne işe yarar?,topic_ask
Kodlama dilinin seçimi neden önemlidir?,topic_ask
Kendini beğenme,farewell
Bana bir problem,other
Selamün Aleyküm Allah,greeting
Selam canım,greeting
Senin için,farewell
Görüşmeliydik efendim,farewell
Koç Baba,greeting
Merhabalar Dünya,greeting
Bir şey daha sorarım,topic_ask
How to create a Burn-Down Chart?,topic_ask
What is a Frontend Development?,topic_ask
Microservices architecture nedir?,topic_ask
"Yönetici selamı, yönetici selamı",greeting
Nelerdir ki bir proje zor bulunur?,topic_ask
Sınaime başlayalım,quiz_start
API Gateway nedir ve ne işe yarar?,topic_ask
Soruların çözümü,other
Kardeşçe,farewell
İstanbulda yaşamaya karar verdim,other
How does a Kanban board work?,topic_ask
"Sorum yok, başlatıyorum",quiz_start
Uzun zaman,farewell
"Merhaba, güzel günde, güzel ki",greeting
Bugün hangi saatte uyudunuz,other
Tren seferi kaç dakikada var?,other
İyi ki varsın,greeting
Her şeyin iyisi,farewell
Sevgili dostum,greeting
Aşkınızın sonsuza,greeting
Kendi halindeğiz,farewell
Hoşça kalın,greeting
Dostça kalın,farewell
Bana bir şaka yap,other
Hoşgeldiniz Sevgili Arkadaşım,greeting
Sırada bir sorun var,other
"Vazgeçilmez bir keyif, iyi gidecek",farewell
Güzel bir Gün,greeting
Merhaba Sayın,greeting
Mavendeki dependencies nedir?,topic_ask
Kesin olarak yanıt,quiz_start
Bir gün ağaçta kalmaya çalıştım mı?,other
Sevgili selamı,greeting
Aşkım Selam,greeting
Sevgili dostumuza,farewell
Agile metodolojisi hangi durumlarda kullanılır?,topic_ask
"Haydi git, iyi ki",farewell
Güneşin ışığı,greeting
Çok iyi günde,farewell
Çok iyi şanslar,farewell
Tren seferi kaç saat sürecektir?,other
Sınava giriş yaptık,quiz_start
Scrum takımının rolü nedir?,topic_ask
API gateway nasıl çalışır?,topic_ask
Çözüm bulalım,quiz_start
"Bana bir problem sor, cevapla",quiz_start
What is the difference between a Task and a Feature?,topic_ask
Sen hangi şehirdensin?,other
İstanbulda yaşamaya ne dersin,other
Selam sevgili,greeting
"Sınav zamanı, başlatıyorum",quiz_start
Son maçta Fenerbahçe kazandı mı?,other
Sizinle Güzel Günaydın,greeting
Görüşürüz dostum,farewell
Proje sonunda yaşanan sorunların çözümü nasıl yapılır?,topic_ask
Fiyat olarak en ucuz olan araba hangisidir?,other
Türkiyede en fazla hangi hayvan var?,other
Sizi seviyorum,farewell
Kalbime evinizde kalın,farewell
Fakat biz varız,farewell
What is a Task in JIRA?,topic_ask
What is a User Interface?,topic_ask
Bana bir problem sor,quiz_start
